id,fullname,subject,age
373,Prokhorov Ludwig,Biology,78
374,Bespalov Mitrofan,Art,34
375,Prokhorov Ludwig,Health,66
376,Komissarov Klim,Geometry,34
377,Ilyin Mechislav,Geometry,33
378,Boris Kulikov,Health,34
379,Lobanov Ernest,Geography,23
380,Sukhanov Arsen,Chemistry,78
381,Lobanov Ernest,Chemistry,33
382,Rusakov Yuri,Health,66
383,Bespalov Mitrofan,Algebra,45
384,Prokhorov Ludwig,PE,33
385,Prokhorov Ludwig,Geography,66
386,Stepanov Gordey,Geometry,45
387,Sukhanov Arsen,History,78
388,Bespalov Mitrofan,Health,45
389,Rusakov Yuri,English,33
390,Prokhorov Ludwig,PE,78
391,Komissarov Klim,PE,66
392,Veselov Anton,History,66
393,Ilyin Mechislav,Geometry,34
394,Veselov Anton,Art,45
395,Komissarov Klim,Algebra,45
396,Boris Kulikov,Biology,78
397,Komissarov Klim,PE,66
398,Bespalov Mitrofan,Geometry,23
399,Veselov Anton,Geometry,23
400,Lobanov Ernest,Health,78
401,Ilyin Mechislav,Biology,34
402,Stepanov Gordey,Health,34
403,Stepanov Gordey,Algebra,45
404,Veselov Anton,Geography,34
405,Ilyin Mechislav,History,45
406,Stepanov Gordey,Chemistry,45
407,Boris Kulikov,Biology,78
408,Sukhanov Arsen,Health,34
409,Prokhorov Ludwig,Biology,33
410,Prokhorov Ludwig,Geometry,78
411,Prokhorov Ludwig,Geometry,66
412,Bespalov Mitrofan,Art,66
413,Stepanov Gordey,English,78
414,Ilyin Mechislav,Algebra,78
415,Rusakov Yuri,PE,33
416,Boris Kulikov,History,66
417,Bespalov Mitrofan,Biology,33
418,Bespalov Mitrofan,Geography,33
419,Veselov Anton,Biology,23
420,Sukhanov Arsen,PE,23
421,Ilyin Mechislav,PE,33
422,Ilyin Mechislav,English,34
423,Sukhanov Arsen,Geography,45
424,Bespalov Mitrofan,Geometry,66
425,Stepanov Gordey,Algebra,78
426,Veselov Anton,Chemistry,66
427,Ilyin Mechislav,Art,33
428,Stepanov Gordey,Biology,33
429,Bespalov Mitrofan,Art,78
430,Stepanov Gordey,English,66
431,Rusakov Yuri,Art,23
432,Lobanov Ernest,Health,34
433,Bespalov Mitrofan,Geography,23
434,Rusakov Yuri,Geography,33
435,Veselov Anton,Geometry,23
436,Rusakov Yuri,Algebra,23
437,Sukhanov Arsen,Health,66
438,Ilyin Mechislav,Biology,45
439,Komissarov Klim,History,45
440,Veselov Anton,Geography,78
441,Bespalov Mitrofan,Chemistry,34
442,Bespalov Mitrofan,Art,23
443,Rusakov Yuri,Geography,33
444,Sukhanov Arsen,PE,66
445,Komissarov Klim,PE,45
446,Boris Kulikov,Biology,45
447,Bespalov Mitrofan,Algebra,78
448,Ilyin Mechislav,Algebra,45
449,Veselov Anton,English,66
450,Lobanov Ernest,Art,66
451,Rusakov Yuri,English,34
452,Prokhorov Ludwig,Chemistry,78
453,Prokhorov Ludwig,PE,23
454,Sukhanov Arsen,Health,23
455,Komissarov Klim,Health,66
456,Veselov Anton,Art,33
457,Sukhanov Arsen,Algebra,45
458,Veselov Anton,PE,23
459,Sukhanov Arsen,History,78
460,Prokhorov Ludwig,English,45
461,Ilyin Mechislav,English,33
462,Rusakov Yuri,English,23
463,Bespalov Mitrofan,Geometry,23
464,Stepanov Gordey,Chemistry,78
465,Sukhanov Arsen,English,33
466,Ilyin Mechislav,Art,33
467,Bespalov Mitrofan,History,33
468,Ilyin Mechislav,Chemistry,78
469,Komissarov Klim,Algebra,23
470,Ilyin Mechislav,History,33
471,Boris Kulikov,Health,23
472,Bespalov Mitrofan,Art,33
473,Sukhanov Arsen,Geography,78
474,Rusakov Yuri,PE,23
475,Lobanov Ernest,Chemistry,45
476,Rusakov Yuri,Geometry,23
477,Veselov Anton,Biology,45
478,Boris Kulikov,Art,45
479,Rusakov Yuri,Health,34
480,Komissarov Klim,PE,33
481,Boris Kulikov,PE,66
482,Komissarov Klim,Biology,45
483,Lobanov Ernest,Algebra,78
484,Sukhanov Arsen,Art,45
485,Veselov Anton,Art,66
486,Bespalov Mitrofan,Geography,34
487,Rusakov Yuri,Geography,33
488,Boris Kulikov,Biology,45
489,Lobanov Ernest,Health,23
490,Bespalov Mitrofan,Art,23
491,Komissarov Klim,Geometry,45
492,Bespalov Mitrofan,Art,34
493,Lobanov Ernest,Biology,34
494,Veselov Anton,Chemistry,23
495,Prokhorov Ludwig,Geometry,78
496,Sukhanov Arsen,Geography,34
497,Bespalov Mitrofan,Biology,78
498,Veselov Anton,Geography,33
499,Veselov Anton,Health,45
500,Sukhanov Arsen,Biology,23
501,Sukhanov Arsen,Geometry,34
502,Bespalov Mitrofan,Geometry,23
503,Veselov Anton,PE,34
504,Boris Kulikov,History,33
505,Boris Kulikov,Art,78
506,Bespalov Mitrofan,Chemistry,23
507,Stepanov Gordey,Chemistry,78
508,Stepanov Gordey,Health,66
509,Prokhorov Ludwig,History,34
510,Komissarov Klim,Geography,23
511,Komissarov Klim,Biology,34
512,Stepanov Gordey,Geometry,45
513,Ilyin Mechislav,Biology,34
514,Stepanov Gordey,History,45
515,Veselov Anton,Geography,23
516,Bespalov Mitrofan,History,33
517,Komissarov Klim,History,33
518,Sukhanov Arsen,Chemistry,66
519,Rusakov Yuri,Chemistry,66
520,Sukhanov Arsen,Biology,66
521,Stepanov Gordey,English,33
522,Stepanov Gordey,English,23
523,Prokhorov Ludwig,Art,23
524,Rusakov Yuri,PE,78
525,Stepanov Gordey,Geometry,23
526,Rusakov Yuri,Biology,78
527,Rusakov Yuri,Biology,34
528,Ilyin Mechislav,Health,45
529,Sukhanov Arsen,History,66
530,Sukhanov Arsen,History,33
531,Bespalov Mitrofan,Biology,34
532,Komissarov Klim,History,33
533,Prokhorov Ludwig,Art,34
534,Boris Kulikov,Biology,45
535,Boris Kulikov,Geography,66
536,Sukhanov Arsen,Chemistry,45
537,Rusakov Yuri,Geometry,34
538,Lobanov Ernest,English,34
539,Bespalov Mitrofan,Geography,45
540,Ilyin Mechislav,Art,45
541,Ilyin Mechislav,PE,33
542,Komissarov Klim,Chemistry,45
543,Sukhanov Arsen,Algebra,66
544,Komissarov Klim,PE,34
545,Sukhanov Arsen,Biology,34
546,Prokhorov Ludwig,Geography,78
547,Bespalov Mitrofan,Health,23
548,Komissarov Klim,Chemistry,78
549,Komissarov Klim,History,66
550,Veselov Anton,Art,78
551,Stepanov Gordey,Chemistry,34
552,Rusakov Yuri,Algebra,78
553,Prokhorov Ludwig,Chemistry,78
554,Sukhanov Arsen,Health,33
555,Boris Kulikov,PE,45
556,Veselov Anton,Chemistry,78
557,Veselov Anton,Art,34
558,Ilyin Mechislav,Geography,33
559,Komissarov Klim,Art,23
560,Komissarov Klim,Health,23
561,Boris Kulikov,History,66
562,Stepanov Gordey,Chemistry,23
563,Veselov Anton,Chemistry,78
564,Lobanov Ernest,History,78
565,Boris Kulikov,English,34
566,Sukhanov Arsen,Algebra,33
567,Prokhorov Ludwig,PE,23
568,Ilyin Mechislav,Health,34
569,Komissarov Klim,Geometry,66
570,Ilyin Mechislav,PE,66
571,Lobanov Ernest,Health,23
572,Bespalov Mitrofan,PE,66
573,Rusakov Yuri,Algebra,45
574,Komissarov Klim,Geometry,66
575,Veselov Anton,PE,33
576,Boris Kulikov,English,78
577,Rusakov Yuri,Health,78
578,Sukhanov Arsen,Geometry,66
579,Boris Kulikov,Algebra,78
580,Boris Kulikov,Algebra,45
581,Lobanov Ernest,Art,33
582,Prokhorov Ludwig,Health,34
583,Ilyin Mechislav,History,23
584,Sukhanov Arsen,English,34
585,Bespalov Mitrofan,History,33
586,Ilyin Mechislav,Chemistry,45
587,Stepanov Gordey,Algebra,78
588,Lobanov Ernest,History,78
589,Lobanov Ernest,Biology,78
590,Lobanov Ernest,Geometry,66
591,Lobanov Ernest,Art,34
592,Boris Kulikov,Biology,23
593,Stepanov Gordey,English,78
594,Prokhorov Ludwig,Algebra,23
595,Ilyin Mechislav,Algebra,78
596,Sukhanov Arsen,Art,45
597,Stepanov Gordey,Algebra,45
598,Rusakov Yuri,Art,34
599,Rusakov Yuri,Health,33
600,Sukhanov Arsen,Chemistry,23
601,Boris Kulikov,Geography,78
602,Stepanov Gordey,Art,33
603,Veselov Anton,Geography,23
604,Bespalov Mitrofan,History,66
605,Stepanov Gordey,PE,34
606,Lobanov Ernest,History,66
607,Veselov Anton,Chemistry,78
608,Rusakov Yuri,PE,23
609,Komissarov Klim,Algebra,34
610,Boris Kulikov,Art,23
611,Sukhanov Arsen,Art,34
612,Ilyin Mechislav,Art,23
613,Prokhorov Ludwig,Health,34
614,Boris Kulikov,Health,23
615,Sukhanov Arsen,Chemistry,78
616,Lobanov Ernest,Geography,78
617,Veselov Anton,English,66
618,Stepanov Gordey,PE,34
619,Rusakov Yuri,Biology,45
620,Ilyin Mechislav,Algebra,34
621,Prokhorov Ludwig,History,33
622,Veselov Anton,English,45
623,Bespalov Mitrofan,Geometry,45
624,Ilyin Mechislav,Art,34
625,Bespalov Mitrofan,Health,23
626,Ilyin Mechislav,PE,23
627,Rusakov Yuri,Biology,33
628,Bespalov Mitrofan,Geometry,45
629,Ilyin Mechislav,Chemistry,78
630,Sukhanov Arsen,PE,34
631,Bespalov Mitrofan,Chemistry,45
632,Bespalov Mitrofan,Chemistry,66
633,Sukhanov Arsen,History,34
634,Stepanov Gordey,Geometry,34
635,Rusakov Yuri,Art,33
636,Boris Kulikov,English,78
637,Rusakov Yuri,Geography,78
638,Sukhanov Arsen,PE,66
639,Ilyin Mechislav,Art,78
640,Ilyin Mechislav,Art,34
641,Stepanov Gordey,English,45
642,Lobanov Ernest,English,45
643,Komissarov Klim,Geometry,33
644,Ilyin Mechislav,Art,78
645,Ilyin Mechislav,Geometry,23
646,Rusakov Yuri,Art,23
647,Rusakov Yuri,English,66
648,Sukhanov Arsen,English,33
649,Lobanov Ernest,English,33
650,Boris Kulikov,PE,78
651,Lobanov Ernest,Biology,45
652,Boris Kulikov,Health,78
653,Prokhorov Ludwig,Chemistry,45
654,Ilyin Mechislav,Chemistry,45
655,Lobanov Ernest,English,33
656,Sukhanov Arsen,Biology,33
657,Komissarov Klim,PE,34
658,Lobanov Ernest,PE,45
659,Sukhanov Arsen,Art,66
660,Komissarov Klim,Health,34
661,Prokhorov Ludwig,Algebra,66
662,Komissarov Klim,Geometry,34
663,Stepanov Gordey,English,34
664,Prokhorov Ludwig,History,45
665,Bespalov Mitrofan,Geography,34
666,Komissarov Klim,Algebra,34
667,Sukhanov Arsen,English,78
668,Sukhanov Arsen,English,34
669,Komissarov Klim,Health,78
670,Boris Kulikov,English,23
671,Prokhorov Ludwig,History,45
672,Ilyin Mechislav,PE,33
673,Boris Kulikov,Biology,66
674,Prokhorov Ludwig,Biology,66
675,Prokhorov Ludwig,Geometry,78
676,Komissarov Klim,Geography,33
677,Lobanov Ernest,Health,34
678,Boris Kulikov,History,33
679,Bespalov Mitrofan,PE,45
680,Bespalov Mitrofan,Geometry,66
681,Lobanov Ernest,Chemistry,34
682,Rusakov Yuri,Geometry,34
683,Sukhanov Arsen,PE,23
684,Lobanov Ernest,PE,66
685,Komissarov Klim,English,78
686,Rusakov Yuri,English,45
687,Bespalov Mitrofan,Health,78
688,Bespalov Mitrofan,PE,45
689,Rusakov Yuri,Art,34
690,Prokhorov Ludwig,English,34
691,Lobanov Ernest,History,23
692,Boris Kulikov,Chemistry,34
693,Bespalov Mitrofan,Geometry,34
694,Komissarov Klim,History,23
695,Bespalov Mitrofan,Health,45
696,Komissarov Klim,Chemistry,33
697,Komissarov Klim,Art,23
698,Boris Kulikov,Health,34
699,Lobanov Ernest,Geometry,33
700,Komissarov Klim,Geometry,23
701,Boris Kulikov,English,23
702,Stepanov Gordey,Geometry,34
703,Prokhorov Ludwig,Algebra,78
704,Sukhanov Arsen,Chemistry,66
705,Lobanov Ernest,Chemistry,66
706,Ilyin Mechislav,Geometry,78
707,Veselov Anton,PE,66
708,Ilyin Mechislav,PE,33
709,Stepanov Gordey,Geography,78
710,Ilyin Mechislav,PE,45
711,Ilyin Mechislav,Biology,34
712,Stepanov Gordey,PE,33
713,Veselov Anton,Algebra,34
714,Ilyin Mechislav,Geometry,33
715,Komissarov Klim,Health,45
716,Lobanov Ernest,PE,33
717,Sukhanov Arsen,History,34
718,Sukhanov Arsen,PE,45
719,Lobanov Ernest,Algebra,23
720,Sukhanov Arsen,Health,34
721,Boris Kulikov,English,78
722,Stepanov Gordey,Biology,34
723,Lobanov Ernest,PE,33
724,Stepanov Gordey,Biology,45
725,Komissarov Klim,Algebra,33
726,Rusakov Yuri,Art,78
727,Ilyin Mechislav,Geography,45
728,Lobanov Ernest,Biology,34
729,Ilyin Mechislav,Art,33
730,Prokhorov Ludwig,English,34
731,Bespalov Mitrofan,Geometry,33
732,Boris Kulikov,English,78
733,Komissarov Klim,English,23
734,Lobanov Ernest,Geometry,34
735,Veselov Anton,Biology,23
736,Prokhorov Ludwig,Geometry,34
737,Prokhorov Ludwig,Algebra,66
738,Rusakov Yuri,Biology,78
739,Rusakov Yuri,PE,78
740,Veselov Anton,Geometry,34
741,Bespalov Mitrofan,Art,33
742,Rusakov Yuri,English,45
743,Prokhorov Ludwig,Algebra,45
744,Komissarov Klim,PE,45
745,Lobanov Ernest,Geometry,66
746,Lobanov Ernest,Chemistry,66
747,Stepanov Gordey,Algebra,23
748,Prokhorov Ludwig,Health,23
749,Veselov Anton,Art,33
750,Sukhanov Arsen,Biology,23
751,Boris Kulikov,History,66
752,Prokhorov Ludwig,Geometry,23
753,Stepanov Gordey,Chemistry,66
754,Boris Kulikov,Geometry,45
755,Prokhorov Ludwig,History,34
756,Prokhorov Ludwig,English,45
757,Komissarov Klim,English,23
758,Prokhorov Ludwig,Art,23
759,Stepanov Gordey,Biology,33
760,Boris Kulikov,Algebra,78
761,Komissarov Klim,PE,66
762,Sukhanov Arsen,PE,34
763,Bespalov Mitrofan,Algebra,34
764,Prokhorov Ludwig,History,34
765,Veselov Anton,English,33
766,Boris Kulikov,Health,66
767,Rusakov Yuri,English,45
768,Lobanov Ernest,Geometry,45
769,Bespalov Mitrofan,Chemistry,45
770,Komissarov Klim,Geography,33
771,Sukhanov Arsen,Chemistry,33
772,Ilyin Mechislav,Chemistry,45
773,Bespalov Mitrofan,History,66
774,Veselov Anton,Art,33
775,Ilyin Mechislav,Geometry,45
776,Ilyin Mechislav,Algebra,66
777,Prokhorov Ludwig,Chemistry,23
